시도,행정구,신혼부부수
서울특별시,소계,184084
서울특별시,종로구,2043
서울특별시,중구,2582
서울특별시,용산구,4967
서울특별시,성동구,6724
서울특별시,광진구,6092
서울특별시,동대문구,6333
서울특별시,중랑구,8685
서울특별시,성북구,7977
서울특별시,강북구,4261
서울특별시,도봉구,4991
서울특별시,노원구,9351
서울특별시,은평구,9237
서울특별시,서대문구,5626
서울특별시,마포구,7667
서울특별시,양천구,7023
서울특별시,강서구,12737
서울특별시,구로구,9182
서울특별시,금천구,4901
서울특별시,영등포구,9578
서울특별시,동작구,7276
서울특별시,관악구,7933
서울특별시,서초구,6866
서울특별시,강남구,7860
서울특별시,송파구,13696
서울특별시,강동구,10502
부산광역시,소계,58215
부산광역시,중구,496
부산광역시,서구,1535
부산광역시,동구,1642
부산광역시,영도구,1351
부산광역시,부산진구,6720
부산광역시,동래구,4757
부산광역시,남구,3389
부산광역시,북구,5303
부산광역시,해운대구,6164
부산광역시,사하구,5159
부산광역시,금정구,2932
부산광역시,강서구,4414
부산광역시,연제구,3801
부산광역시,수영구,3037
부산광역시,사상구,3151
부산광역시,기장군,4369
대구광역시,소계,41617
대구광역시,중구,1694
대구광역시,동구,6888
대구광역시,서구,1831
대구광역시,남구,2083
대구광역시,북구,8028
대구광역시,수성구,5063
대구광역시,달서구,8665
대구광역시,달성군,7366
인천광역시,소계,62844
인천광역시,중구,3906
인천광역시,동구,950
인천광역시,연수구,8188
인천광역시,남동구,9793
인천광역시,부평구,10302
인천광역시,계양구,5143
인천광역시,서구,14678
인천광역시,미추홀구,8614
인천광역시,강화군,906
인천광역시,옹진군,365
광주광역시,소계,27708
광주광역시,동구,2316
광주광역시,서구,4647
광주광역시,남구,3534
광주광역시,북구,8423
광주광역시,광산구,8788
대전광역시,소계,28879
대전광역시,동구,3965
대전광역시,중구,3622
대전광역시,서구,9331
대전광역시,유성구,8691
대전광역시,대덕구,3270
울산광역시,소계,22614
울산광역시,중구,3377
울산광역시,남구,6160
울산광역시,동구,2767
울산광역시,북구,5857
울산광역시,울주군,4454
세종특별자치시,소계,10959
세종특별자치시,세종시,10959
경기도,소계,308634
경기도,수원시,27194
경기도,장안구,4684
경기도,권선구,8966
경기도,팔달구,4493
경기도,영통구,9052
경기도,성남시,18812
경기도,수정구,5046
경기도,중원구,4400
경기도,분당구,9366
경기도,의정부시,10066
경기도,안양시,12151
경기도,만안구,5089
경기도,동안구,7062
경기도,부천시,16208
경기도,광명시,5828
경기도,평택시,16888
경기도,동두천시,1735
경기도,안산시,13498
경기도,상록구,6707
경기도,단원구,6791
경기도,고양시,22401
경기도,덕양구,12167
경기도,일산동구,5126
경기도,일산서구,5109
경기도,과천시,2041
경기도,구리시,3561
경기도,남양주시,15517
경기도,오산시,5621
경기도,시흥시,13803
경기도,군포시,5843
경기도,의왕시,3617
경기도,하남시,8727
경기도,용인시,21789
경기도,처인구,5612
경기도,기흥구,8576
경기도,수지구,7601
경기도,파주시,12454
경기도,이천시,5054
경기도,안성시,3917
경기도,김포시,12194
경기도,화성시,26424
경기도,광주시,9941
경기도,양주시,5211
경기도,포천시,2728
경기도,여주시,1959
경기도,연천군,750
경기도,가평군,973
경기도,양평군,1737
강원특별자치도,소계,30353
강원특별자치도,춘천시,5946
강원특별자치도,원주시,8332
강원특별자치도,강릉시,3914
강원특별자치도,동해시,1706
강원특별자치도,태백시,553
강원특별자치도,속초시,1752
강원특별자치도,삼척시,1077
강원특별자치도,홍천군,1086
강원특별자치도,횡성군,595
강원특별자치도,영월군,469
강원특별자치도,평창군,568
강원특별자치도,정선군,503
강원특별자치도,철원군,966
강원특별자치도,화천군,617
강원특별자치도,양구군,506
강원특별자치도,인제군,887
강원특별자치도,고성군,453
강원특별자치도,양양군,428
충청북도,소계,32416
충청북도,충주시,4073
충청북도,제천시,2169
충청북도,청주시,19299
충청북도,상당구,4148
충청북도,서원구,3571
충청북도,흥덕구,6751
충청북도,청원구,4830
충청북도,보은군,334
충청북도,옥천군,606
충청북도,영동군,504
충청북도,진천군,2128
충청북도,괴산군,443
충청북도,음성군,1620
충청북도,단양군,355
충청북도,증평군,888
충청남도,소계,43660
충청남도,천안시,16146
충청남도,동남구,5114
충청남도,서북구,11033
충청남도,공주시,1398
충청남도,보령시,1571
충청남도,아산시,8421
충청남도,서산시,4070
충청남도,논산시,1696
충청남도,계룡시,759
충청남도,당진시,3804
충청남도,금산군,569
충청남도,부여군,620
충청남도,서천군,534
충청남도,청양군,323
충청남도,홍성군,1790
충청남도,예산군,1052
충청남도,태안군,911
전북특별자치도,소계,29072
전북특별자치도,전주시,12403
전북특별자치도,완산구,5607
전북특별자치도,덕진구,6796
전북특별자치도,군산시,4611
전북특별자치도,익산시,4006
전북특별자치도,정읍시,1439
전북특별자치도,남원시,1063
전북특별자치도,김제시,1059
전북특별자치도,완주군,1664
전북특별자치도,진안군,308
전북특별자치도,무주군,289
전북특별자치도,장수군,243
전북특별자치도,임실군,384
전북특별자치도,순창군,301
전북특별자치도,고창군,654
전북특별자치도,부안군,652
전라남도,소계,31640
전라남도,목포시,3630
전라남도,여수시,5230
전라남도,순천시,5578
전라남도,나주시,2639
전라남도,광양시,3310
전라남도,담양군,573
전라남도,곡성군,252
전라남도,구례군,245
전라남도,고흥군,753
전라남도,보성군,391
전라남도,화순군,812
전라남도,장흥군,539
전라남도,강진군,419
전라남도,해남군,966
전라남도,영암군,889
전라남도,무안군,1952
전라남도,함평군,329
전라남도,영광군,996
전라남도,장성군,549
전라남도,완도군,665
전라남도,진도군,438
전라남도,신안군,490
경상북도,소계,45032
경상북도,포항시,9299
경상북도,남구,4069
경상북도,북구,5231
경상북도,경주시,4267
경상북도,김천시,2449
경상북도,안동시,2400
경상북도,구미시,8885
경상북도,영주시,1395
경상북도,영천시,1766
경상북도,상주시,1229
경상북도,문경시,875
경상북도,경산시,5256
경상북도,군위군,212
경상북도,의성군,502
경상북도,청송군,316
경상북도,영양군,194
경상북도,영덕군,401
경상북도,청도군,373
경상북도,고령군,284
경상북도,성주군,538
경상북도,칠곡군,1959
경상북도,예천군,1146
경상북도,봉화군,288
경상북도,울진군,856
경상북도,울릉군,148
경상남도,소계,59601
경상남도,진주시,6647
경상남도,통영시,1755
경상남도,사천시,1896
경상남도,김해시,11230
경상남도,밀양시,1264
경상남도,거제시,4346
경상남도,양산시,7960
경상남도,창원시,19595
경상남도,의창구,4387
경상남도,성산구,4871
경상남도,마산합포구,3272
경상남도,마산회원구,2685
경상남도,진해구,4382
경상남도,의령군,265
경상남도,함안군,702
경상남도,창녕군,701
경상남도,고성군,491
경상남도,남해군,405
경상남도,하동군,405
경상남도,산청군,356
경상남도,함양군,379
경상남도,거창군,808
경상남도,합천군,400
제주특별자치도,소계,14929
제주특별자치도,제주시,11200
제주특별자치도,서귀포시,3729
