"시군구별(1)",2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2023.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4,2024.1/4
"시군구별(1)",전체,의사,의사,의사,의사,의사,치과의사,치과의사,치과의사,치과의사,치과의사,한의사,한의사,한의사,한의사,한의사,조산사,약사,물리치료사,작업치료사,사회복지사,전체,의사,의사,의사,의사,의사,치과의사,치과의사,치과의사,치과의사,치과의사,한의사,한의사,한의사,한의사,한의사,조산사,약사,물리치료사,작업치료사,사회복지사,전체,의사,의사,의사,의사,의사,치과의사,치과의사,치과의사,치과의사,치과의사,한의사,한의사,한의사,한의사,한의사,조산사,약사,물리치료사,작업치료사,사회복지사,전체,의사,의사,의사,의사,의사,치과의사,치과의사,치과의사,치과의사,치과의사,한의사,한의사,한의사,한의사,한의사,조산사,약사,한약사,물리치료사,작업치료사,사회복지사,전체,의사,의사,의사,의사,의사,치과의사,치과의사,치과의사,치과의사,치과의사,한의사,한의사,한의사,한의사,한의사,조산사,약사,한약사,물리치료사,작업치료사,사회복지사
"시군구별(1)",소계,소계,일반의,인턴,레지던트,전문의,소계,일반의,인턴,레지던트,전문의,소계,일반의,일반수련의,전문수련의,전문의,소계,소계,소계,소계,소계,소계,소계,일반의,인턴,레지던트,전문의,소계,일반의,인턴,레지던트,전문의,소계,일반의,일반수련의,전문수련의,전문의,소계,소계,소계,소계,소계,소계,소계,일반의,인턴,레지던트,전문의,소계,일반의,인턴,레지던트,전문의,소계,일반의,일반수련의,전문수련의,전문의,소계,소계,소계,소계,소계,소계,소계,일반의,인턴,레지던트,전문의,소계,일반의,인턴,레지던트,전문의,소계,일반의,일반수련의,전문수련의,전문의,소계,소계,소계,소계,소계,소계,소계,소계,일반의,인턴,레지던트,전문의,소계,일반의,인턴,레지던트,전문의,소계,일반의,일반수련의,전문수련의,전문의,소계,소계,소계,소계,소계,소계
"전체",248635,106144,5775,2794,10254,87321,26552,20399,308,896,4949,21650,18222,287,410,2731,73,39587,42604,7910,4115,255715,108613,5988,2725,9858,90042,27175,19294,352,904,6625,22161,18605,331,394,2831,71,40067,45108,8380,4140,261238,110797,6094,2815,9695,92193,27568,17807,371,912,8478,22509,18898,281,379,2951,58,41252,46401,8445,4208,267572,113039,5831,2933,9697,94578,28011,17046,331,920,9714,22759,19101,273,348,3037,60,40958,1293,48479,8648,4325,270661,111861,6193,1542,8355,95771,28459,16799,347,944,10369,23211,19421,305,346,3139,62,42000,1350,50168,9133,4417
"서울",62934,30608,1169,1202,4488,23749,7314,5196,141,435,1542,5019,4025,74,146,774,16,9528,8559,1342,548,64309,31304,1209,1099,4389,24607,7401,4854,145,434,1968,5114,4092,112,128,782,18,9579,8994,1361,538,65523,32027,1305,1141,4264,25317,7447,4408,143,445,2451,5189,4142,104,131,812,14,9843,9154,1302,547,67079,32945,1379,1203,4256,26107,7457,4153,145,453,2706,5219,4196,87,116,820,16,9713,325,9554,1263,587,67150,32247,1622,589,3679,26357,7460,4015,142,441,2862,5274,4259,70,104,841,16,9934,335,9920,1364,600
"부산",18745,8079,379,198,709,6793,1771,1488,3,5,275,1700,1465,14,39,182,4,2820,3326,655,390,19107,8130,359,209,659,6903,1782,1383,3,7,389,1727,1478,12,37,200,2,2868,3518,686,394,19473,8219,369,200,655,6995,1801,1286,3,8,504,1770,1525,8,32,205,1,2964,3646,699,373,20030,8384,379,202,663,7140,1824,1224,2,9,589,1813,1545,14,31,223,1,2967,60,3855,738,388,20191,8301,388,149,521,7243,1847,1201,5,8,633,1821,1550,18,32,221,1,3018,65,3954,779,405
"대구",13606,5859,156,197,684,4822,1308,1022,0,59,227,1146,1013,12,16,105,1,2116,2331,629,216,14060,5982,169,160,656,4997,1360,977,24,63,296,1186,1050,12,17,107,0,2152,2486,675,219,14425,6141,180,170,637,5154,1370,920,26,59,365,1215,1060,10,18,127,0,2212,2572,679,236,14742,6233,177,199,614,5243,1375,879,25,59,412,1240,1085,10,16,129,0,2203,40,2715,700,236,15115,6287,226,202,541,5318,1417,870,25,63,459,1279,1122,13,16,128,0,2253,47,2874,708,250
"인천",12516,5074,240,115,413,4306,1302,1025,5,6,266,1008,867,6,5,130,8,1959,2431,493,241,13066,5211,258,117,398,4438,1331,961,3,5,362,1043,906,7,2,128,7,1975,2670,580,249,13311,5284,272,139,397,4476,1332,864,3,4,461,1101,964,4,0,133,4,2038,2732,564,256,13984,5532,273,179,351,4729,1374,831,4,1,538,1128,983,5,0,140,4,2048,71,2942,607,278,14398,5597,305,91,307,4894,1383,808,2,1,572,1154,1002,8,0,144,4,2148,73,3089,656,294
"광주",8944,3648,149,95,336,3068,1011,688,37,87,199,723,542,35,15,131,0,1303,1769,316,174,9064,3686,153,83,326,3124,1034,656,44,88,246,695,525,26,7,137,0,1327,1813,329,180,9145,3733,145,94,312,3182,1032,599,51,84,298,677,513,25,9,130,0,1334,1841,349,179,9348,3804,154,100,306,3244,1033,580,38,77,338,686,523,24,9,130,0,1274,85,1904,384,178,9371,3727,151,67,264,3245,1076,574,41,107,354,701,518,33,8,142,0,1281,93,1940,383,170
"대전",8624,3688,165,117,399,3007,853,623,13,27,190,735,579,13,45,98,4,1294,1559,357,134,8768,3698,177,144,369,3008,862,604,9,29,220,759,598,22,39,100,4,1295,1642,366,142,8856,3780,181,139,389,3071,848,565,14,31,238,775,617,20,30,108,2,1310,1640,360,141,8927,3803,181,141,398,3083,859,543,8,32,276,762,615,22,23,102,2,1287,55,1652,360,147,9004,3675,190,41,373,3071,856,521,9,32,294,770,611,14,36,109,2,1311,58,1776,411,145
"울산",4340,1733,100,20,92,1521,502,430,4,2,66,412,350,14,0,48,3,732,736,140,82,4436,1762,103,25,92,1542,517,417,3,3,94,416,354,15,0,47,3,754,753,142,89,4536,1798,98,26,90,1584,511,367,4,4,136,414,353,13,0,48,3,771,793,150,96,4638,1824,95,26,96,1607,510,356,1,5,148,421,357,11,0,53,3,756,22,855,157,90,4724,1824,107,0,106,1611,526,352,0,5,169,430,363,13,0,54,3,777,24,880,174,86
"세종",910,314,26,0,0,288,120,69,0,0,51,108,90,0,0,18,2,183,175,2,6,1149,450,31,0,0,419,128,60,0,0,68,122,100,0,0,22,3,222,209,7,8,1228,489,32,0,0,457,140,60,0,0,80,126,104,0,0,22,2,239,218,6,8,1287,511,33,0,0,478,146,60,0,0,86,127,106,0,0,21,1,243,11,228,8,12,1345,544,32,0,4,508,144,57,0,0,87,141,120,0,0,21,1,262,13,226,4,10
"경기",53292,21621,954,405,1720,18542,5846,4606,21,43,1176,4525,3850,40,55,580,22,8955,9320,2047,956,55550,22415,1001,379,1628,19407,6069,4334,19,48,1668,4738,4003,39,61,635,22,9058,10135,2174,939,57760,23285,1028,485,1577,20195,6289,3982,30,45,2232,4900,4122,28,64,686,20,9521,10601,2190,954,60093,24234,1068,430,1608,21128,6496,3764,17,59,2656,5043,4221,38,64,720,21,9593,304,11203,2227,972,61407,24109,1118,182,1261,21548,6654,3725,14,54,2861,5208,4351,48,61,748,23,10002,307,11780,2331,993
"강원",6122,2706,225,75,278,2128,682,496,21,49,116,535,465,4,6,60,0,1028,935,143,93,6366,2779,230,114,246,2189,701,470,27,51,153,547,472,8,11,56,0,1073,1008,152,106,6525,2792,236,72,263,2221,721,448,20,55,198,567,492,7,7,61,0,1098,1086,162,99,6450,2714,179,74,258,2203,713,436,12,38,227,563,495,6,5,57,0,1079,19,1097,162,103,6540,2715,189,40,239,2247,758,440,34,39,245,571,490,6,7,68,0,1082,20,1107,176,111
"충북",6543,2499,214,37,130,2118,632,517,0,1,114,625,519,7,17,82,1,1132,1306,218,130,6622,2516,236,37,116,2127,669,496,0,1,172,637,521,13,17,86,1,1136,1321,218,124,6769,2529,216,31,124,2158,680,463,0,1,216,654,542,9,14,89,1,1151,1378,249,127,6798,2502,192,34,119,2157,692,448,0,1,243,630,521,8,11,90,2,1132,33,1426,255,126,6947,2504,191,1,125,2187,720,460,0,2,258,659,534,13,14,98,2,1164,33,1463,271,131
"충남",8251,3203,340,57,215,2591,920,693,20,56,151,836,710,13,15,98,1,1469,1442,216,164,8370,3260,353,59,205,2643,939,655,21,59,204,836,704,18,14,100,0,1460,1468,232,175,8420,3258,351,56,197,2654,956,616,24,60,256,834,702,13,14,105,0,1480,1490,240,162,8511,3227,277,58,202,2690,994,605,24,63,302,825,689,8,13,115,0,1458,53,1529,246,179,8696,3230,289,46,154,2741,1008,617,18,59,314,864,722,11,14,117,0,1518,53,1577,249,197
"전북",9186,3647,297,94,294,2962,907,674,17,66,150,929,749,19,18,143,0,1463,1756,292,192,9383,3675,324,83,287,2981,938,664,27,56,191,940,763,10,26,141,0,1485,1835,321,189,9445,3701,309,108,282,3002,946,626,25,57,238,936,755,10,26,145,0,1497,1838,320,207,9560,3689,265,102,290,3032,959,615,24,63,257,942,753,14,27,148,0,1479,69,1889,335,198,9555,3631,249,52,285,3045,977,610,24,72,271,934,742,18,27,147,0,1478,77,1895,363,200
"전남",8261,3112,427,43,89,2553,766,684,0,0,82,820,713,10,9,88,4,1320,1846,180,213,8431,3178,443,50,91,2594,786,676,0,0,110,811,698,17,5,91,4,1317,1923,200,212,8549,3221,468,28,88,2637,805,638,0,0,167,809,702,12,4,91,3,1362,1934,197,218,8504,3117,374,42,92,2609,804,607,0,0,197,818,707,10,4,97,3,1332,46,1971,192,221,8466,3093,365,23,89,2616,811,610,0,0,201,811,693,18,4,96,3,1329,48,1957,195,219
"경북",9536,3644,403,7,47,3187,955,840,0,1,114,1023,939,9,7,68,1,1629,1810,226,248,9645,3665,410,13,47,3195,953,798,0,1,154,1046,961,8,11,66,1,1647,1857,241,235,9721,3630,407,12,39,3172,972,769,0,1,202,1037,953,7,11,66,1,1662,1894,261,264,9797,3588,350,13,42,3183,987,754,0,0,233,1034,951,5,9,69,1,1659,23,1951,288,266,9962,3591,317,7,34,3233,996,750,0,0,246,1057,973,6,5,73,1,1684,28,2022,319,264
"경남",13949,5535,451,109,296,4679,1380,1104,26,59,191,1267,1127,16,17,107,5,2180,2728,566,288,14427,5710,461,117,291,4841,1414,1047,27,59,281,1295,1152,12,19,112,5,2228,2878,601,296,14563,5727,419,102,320,4886,1415,964,28,58,365,1259,1126,11,19,103,6,2267,2974,617,298,14758,5720,380,96,342,4902,1473,955,31,60,427,1255,1119,11,20,105,5,2220,67,3089,631,298,14702,5562,382,51,297,4832,1506,952,33,61,460,1281,1136,15,18,112,5,2241,64,3096,652,295
"제주",2876,1174,80,23,64,1007,283,244,0,0,39,239,219,1,0,19,1,476,575,88,40,2962,1192,71,36,58,1027,291,242,0,0,49,249,228,0,0,21,1,491,598,95,45,2989,1183,78,12,61,1032,303,232,0,0,71,246,226,0,0,20,1,503,610,100,43,3066,1212,75,34,60,1043,315,236,0,0,79,253,235,0,0,18,1,515,10,619,95,46,3088,1224,72,1,76,1075,320,237,0,0,83,256,235,1,0,20,1,518,12,612,98,47
