2020.1/4,2021.1/4,2022.1/4,2023.1/4,2024.1/4
248635,255715,261238,267572,270661
62934,64309,65523,67079,67150
18745,19107,19473,20030,20191
13606,14060,14425,14742,15115
12516,13066,13311,13984,14398
8944,9064,9145,9348,9371
8624,8768,8856,8927,9004
4340,4436,4536,4638,4724
910,1149,1228,1287,1345
53292,55550,57760,60093,61407
6122,6366,6525,6450,6540
6543,6622,6769,6798,6947
8251,8370,8420,8511,8696
9186,9383,9445,9560,9555
8261,8431,8549,8504,8466
9536,9645,9721,9797,9962
13949,14427,14563,14758,14702
2876,2962,2989,3066,3088
